SWB_1,SWB_2,SWB_3,FSscore,HOUSING,LIVINGARRANGEMENT,SAVINGSRANGES,EARNERS,MANAGE2,PAREDUC,HHEDUC,KIDS_NoChildren,EMPLOY,agecat,generation,PPEDUC,PPETHM,PPGENDER,PPHHSIZE,PPINCIMP,PPMARIT,PPREG4,PPREG9
3,3,5,41,3,1,7,1,3,5,5,1,2,2,4,5,3,1,1,7,4,1,2
6,6,7,56,1,2,6,2,2,5,3,1,8,6,2,3,1,2,2,7,1,4,8
6,6,7,49,2,2,5,2,3,4,5,0,99,2,4,5,1,1,5,5,1,3,5
3,4,5,46,3,3,1,1,1,4,4,1,7,1,4,3,1,2,2,5,4,3,7
7,7,7,34,3,5,3,2,2,2,2,0,99,3,3,2,4,1,4,2,1,2,3
4,4,5,45,1,5,99,2,3,2,5,1,2,3,3,3,1,1,2,8,1,4,9
5,6,6,48,2,1,99,1,3,2,4,1,3,4,2,4,1,1,1,2,4,3,5
5,5,4,51,1,1,1,1,3,1,1,1,1,4,2,1,1,1,1,1,4,3,7
6,6,7,73,2,2,3,2,2,3,3,0,2,3,3,3,3,2,5,2,1,4,8
5,4,5,42,1,2,4,1,2,2,2,0,2,2,4,2,1,1,4,7,1,3,5
